"rating","price_usd","dominant_label","norm_sentiment","skin_type","token_count","mentions_social_media"
5,38,"Texture, Fragrance & Makeup",0.368421052631579,"combination",19,FALSE
5,78,"Moisterization",0.118421052631579,"combination",76,FALSE
5,40,"Problematic Skin (Acne/Sensitivity)",0.152173913043478,"combination",46,FALSE
1,29,"Moisterization",0.157894736842105,"normal",19,FALSE
1,34,"Texture, Fragrance & Makeup",-0.103448275862069,"normal",29,FALSE
5,50,"Purchase Experience & Satisfaction",0.21875,"normal",32,FALSE
3,9.99,"Purchase Experience & Satisfaction",0,"normal",6,FALSE
5,32,"Problematic Skin (Acne/Sensitivity)",0.111111111111111,"dry",27,FALSE
1,29,"Problematic Skin (Acne/Sensitivity)",0.05,"normal",20,FALSE
5,32.5,"Problematic Skin (Acne/Sensitivity)",0.1875,"combination",16,FALSE
4,57,"Texture, Fragrance & Makeup",0.0714285714285714,"combination",28,FALSE
4,15,"Moisterization",0.0714285714285714,"combination",42,FALSE
5,72,"Purchase Experience & Satisfaction",0.433333333333333,"combination",30,FALSE
4,38,"Purchase Experience & Satisfaction",0.428571428571429,"dry",7,FALSE
5,48,"Moisterization",0.333333333333333,"combination",21,FALSE
5,26,"Problematic Skin (Acne/Sensitivity)",0.0821917808219178,"normal",73,FALSE
4,19,"Moisterization",0.290322580645161,"combination",31,FALSE
5,42,"Problematic Skin (Acne/Sensitivity)",0.461538461538462,"combination",13,FALSE
5,40,"Texture, Fragrance & Makeup",0.826086956521739,"combination",23,FALSE
2,49,"Purchase Experience & Satisfaction",-0.05,"combination",20,FALSE
3,32,"Problematic Skin (Acne/Sensitivity)",0.172413793103448,"oily",58,FALSE
1,50,"Problematic Skin (Acne/Sensitivity)",0.0769230769230769,"combination",26,FALSE
5,74,"Purchase Experience & Satisfaction",0.28,"normal",25,FALSE
